阿胶	［同］驴皮胶 
蝴蝶琴	［同］扇面琴 扬琴 洋琴 打琴 
蝴蝶瓦	［同］瓦垄 瓦 瓦片 小青瓦 
狐	［同］狐狸 赤狐 火狐 红狐 
狐假虎威	［同］狗仗人势 仗势欺人 以强凌弱 谄上欺下 
狐狸	［同］赤狐 火狐 红狐 狐 
狐媚	［同］阿谀 谄谀 谄媚 献媚 
狐凭鼠状	［同］匿影藏形 
狐疑	［同］嫌疑 生疑 怀疑 置疑 
狐疑不决	［同］瞻前顾后 犹豫不决 裹足不前 优柔寡断 
糊1	［同］烧焦 燎 
糊2	［同］粘贴 贴 粘 胶 
糊里糊涂1	［同］若明若暗 半明半暗 影影绰绰 模糊不清 
糊里糊涂2	［同］稀里糊涂 昏头昏脑 
糊料	［同］养料 敷料 涂料 
糊弄	［同］闹玄虚 故弄玄虚 迷人眼目 迷惑 
糊涂	［同］背晦 悖晦 蒙昧 昏昧 ［反］明白 
糊涂虫	［同］糊涂蛋 马大哈 
糊涂蛋	［同］马大哈 糊涂虫 
糊涂帐	［同］烂账 
湖	［同］海子 湖泊 
湖泊	［同］湖 海子 
湖海浪游	［同］漫游 畅游 游山玩水 云游四海 
湖面	［同］水面 海面 洋面 河面 
湖绉	［同］绉纱 双绉 
弧形	［同］拱形 半圆形 
虎	［同］老虎 大虫 乌菟 
虎背熊腰	［同］虎头虎脑 身强体壮 
虎虎生气	［同］气宇轩昂 气概不凡 威加四海 叱咤风云 
虎踞龙盘	［同］龙盘虎踞 一夫当关 万夫莫开 
虎口拔牙	［同］孤注一掷 铤而走险 摸老虎屁股 老虎头上拍苍蝇 
虎口余生1	［同］残生 余生 劫后余生 
虎口余生2	［同］绝路逢生 九死一生 脱险 死里逃生 
虎列拉	［同］痧 霍乱 虎疫 
虎落平阳	［同］穷途潦倒 失意潦倒 怀才不遇 蛟龙失水 
虎起脸	［同］冷脸子 板脸 绷脸 
虎钳	［同］台钳 老虎钳 
虎声吓人	［同］虚张声势 虚声 虚声恫吓 
虎头虎脑	［同］身强体壮 虎背熊腰 
虎头蛇尾	［同］断断续续 无恒 有始无终 有头无尾 ［反］有始有终 善始善终 有头有尾 
虎威	［同］威风 威严 威势 
虎疫	［同］虎列拉 痧 霍乱 
虎钤	［同］兵书 兵符 
护	［同］养护 养 护养 
护岸林护路林	［同］防护林 防风林 防沙林 防霜林 
护城河	［同］城池 城壕 
护持	［同］维系 保全 保持 维持 
护短	［同］庇荫 包庇 庇护 袒护 
护符	［同］保护伞 隐身草 护身符 
护身符	［同］护符 保护伞 隐身草 
护卫	［同］卫护 侍卫 保卫 捍卫 
护养1	［同］保育 抚育 
护养2	［同］护 养护 养 
护养3	［同］养护 
互	［同］互相 相互 交互 相 
互补色	［同］补色 
互换	［同］掉换 串换 交换 对换 
互惠关税	［同］关税 保护关税 特惠关税 
互济	［同］相濡以沫 以沫相濡 互助 
互生	［反］对生 
互市	［同］通商 
互通有无	［同］赠答 投桃报李 礼上往来 
互相	［同］相互 交互 相 互 
互相配合	［反］各行其是 各自为政 
互助	［同］互济 相濡以沫 以沫相濡 
沪剧	［同］申曲 
户籍	［同］户口 
户口	［同］户籍 
户口簿	［同］户口册 丁口册 口籍 
户口册	［同］丁口册 口籍 户口簿 
户主	［同］屋主 房东 
花1	［同］鲜花 
花2	［同］葩 英 芳 
花瓣	［同］瓣 
花苞	［同］苞 
花被	［同］花粉 花盘 花冠 花梗 
花边新闻	［同］黄色新闻 桃色新闻 
花柄	［同］柄 
花布	［同］印花布 麻布 夏布 麻布 
花菜	［同］花椰菜 
花草	［同］花卉 
花茶	［同］茶香片 
花池子	［同］花囿 花坛 
花大姐	［同］花星瓢虫 花媳妇 
花灯	［同］跳灯 耍灯 灯戏 
花雕	［同］老酒 陈酒 
花缎	［同］古香缎 锦缎 软缎 库缎 
花朵	［同］朵儿 
花儿匠	［同］园丁 园人 老圃 花匠 
花费1	［同］费 耗费 消耗 耗 
花费2	［同］费用 费 用度 用费 
花粉	［同］花盘 花冠 花梗 花被 
花糕	［同］云片糕 扒糕 糕 蛋糕 
花梗1	［同］花被 花粉 花盘 花冠 
花梗2	［同］梃 花茎 花轴 
花鼓舞	［同］打花鼓 
花骨朵	［同］骨朵儿 花蕾 蕾 蓓蕾 
花冠	［同］花梗 花被 花粉 花盘 
花棍舞	［同］霸王鞭 打莲湘 
花盒	［同］鞭炮 鞭爆 鞭 百响 
花红	［同］红 红利 
花卉	［同］花草 
花甲	［同］耳顺 杖乡 六十岁 
花匠	［同］花儿匠 园丁 园人 老圃 
花茎	［同］花轴 花梗 梃 
花蕾	［同］蕾 蓓蕾 花骨朵 骨朵儿 
花梨	［同］花榈木 
花苗	［同］树苗 禾苗 麦苗 壮苗 
花名册	［同］口籍 名单 名册 人名册 
花盘	［同］花冠 花梗 花被 花粉 
花炮	［同］烟火 焰火 爆竹 炮仗 
花瓶	［同］交际花 舞女 
花前月下	［同］约会 幽会 幽期 
花枪	［同］花样 玄虚 鬼把戏 花头 
花容	［同］美貌 红颜 美颜 姿色 
花容玉貌	［同］眉清目秀 风仪秀整 明眸皓齿 冰肌玉骨 
花容月貌	［反］口歪眼斜 其貌不扬 面目可憎 
花蕊	［同］花须 
花哨	［反］朴素 朴实 
花生豆儿	［同］花生米 花生仁 
花生米	［同］花生仁 花生豆儿 
花生仁	［同］花生豆儿 花生米 
花坛	［同］花池子 花囿 
花天酒地	［同］纸醉金迷 金迷纸醉 灯红酒绿 大吃大喝 
花头	［同］花枪 花样 玄虚 鬼把戏 
花王	［同］富贵花 洛阳花 牡丹 
花纹	［同］条纹 斑纹 
花媳妇	［同］花大姐 花星瓢虫 
花项	［反］进项 
花销	［反］进项 
花消1	［同］捐税 捐 税 
花消2	［同］佣金 佣钱 行佣 佣 
花信	［同］花信风 
花信风	［同］花信 
花星瓢虫	［同］花媳妇 花大姐 
花须	［同］花蕊 
花言巧语1	［同］尔虞我诈 招摇撞骗 掩人耳目 ［反］金玉良言 
花言巧语2	［同］哗众取宠 巧言如簧 摇唇鼓舌 播唇弄舌 
花言巧语3	［同］迷魂汤 迷魂药 甜言蜜语 
花眼	［同］老花眼 
花样1	［同］款式 式样 样式 形式 
花样2	［同］玄虚 鬼把戏 花头 花枪 
花样翻新	［同］创新 更新 
花椰菜	［同］花菜 
花园	［同］庄园 园囿 园林 公园 
花招	［同］把戏 噱头 
花枝招展	［同］千娇百媚 
花轴	［同］花梗 梃 花茎 
花烛夫妻	［同］配偶 匹偶 结发夫妻 
花萼	［同］萼 萼片 
花囿	［同］花坛 花池子 
花榈木	［同］花梨 
哗哗1	［同］哗啦 潺潺 活活 决决 
哗哗2	［同］哗啦 霎霎 刷刷 
哗啦1	［同］潺潺 活活 决决 哗哗 
哗啦2	［同］霎霎 刷刷 哗哗 
哗众取宠	［同］巧言如簧 摇唇鼓舌 播唇弄舌 花言巧语 
华北	［反］华南 
华词	［同］谀词 溢美之词 谦词 敬词 
华颠	［同］白头 皓首 华首 
华贵	［同］贵重 昂贵 名贵 宝贵 
华翰	［同］来信 来函 来鸿 来翰 
华丽1	［同］纷华 堂皇 富丽 豪华 ［反］朴素 朴实 
华丽2	［同］富丽 壮丽 瑰丽 
华美	［同］优美 美妙 
华南	［反］华北 
华侨	［同］侨民 侨 侨胞 外侨 
华首	［同］华颠 白头 皓首 
华丝葛	［同］绮罗 蜀锦 织锦 僮锦 
华语	［同］国语 中文 国文 汉语 
滑1	［同］滑动 滑行 ［反］涩 
滑2	［同］滑头 
滑3	［同］溜 打滑 
滑冰	［同］溜冰 
滑车	［同］滑轮 
滑动	［同］滑行 滑 
滑稽戏	［同］独脚戏 
滑精	［同］梦遗 遗精 
滑溜	［同］滑腻 光润 光洁 光滑 
滑溜溜	［同］光溜溜 
滑轮	［同］滑车 
滑腻	［同］光润 光洁 光滑 滑溜 
滑梯	［同］浪船 风车 竹马 高跷 
滑头	［同］滑 
滑头滑脑	［同］油头滑脑 
滑翔	［同］俯冲 腾云驾雾 
滑行	［同］滑 滑动 
画1	［同］笔画 笔 
画2	［同］绘画 描画 描绘 摹绘 
画饼充饥	［同］自慰 聊以自慰 聊以解嘲 望梅止渴 
画册	［同］纪念册 分册 表册 手册 
画到	［同］报到 画卯 签到 
画栋雕梁	［同］雕栏玉砌 富丽堂皇 金壁辉煌 
画幅	［同］画图 绘画 美术 图画 
画工	［同］画师 画匠 
画虎类狗	［同］点金成铁 画蛇添足 
画匠	［同］画工 画师 
画境1	［同］梦境 佳境 
画境2	［同］胜地 佳境 胜境 妙境 
画卯	［同］签到 画到 报到 
画眉	［同］描眉 
画面	［同］影像 镜头 
画诺	［同］批阅 圈阅 画圈 画行 
画屏	［同］屏风 插屏 围屏 
画谱	［同］画帖 
画圈	［同］画行 画诺 批阅 圈阅 
画蛇添足1	［同］多此一举 
画蛇添足2	［同］画虎类狗 点金成铁 
画师	［同］画匠 画工 
画帖	［同］画谱 
画图	［同］绘画 美术 图画 画幅 
画像	［同］肖像 真影写真 真像 
画行	［同］画诺 批阅 圈阅 画圈 
画押	［同］签押 书押 押字 押尾 
画轴	［同］卷轴 挂轴 
划1	［同］调拨 划拨 拨 
划2	［同］锯 剖 破 破开 
划拨	［同］拨 划 调拨 
划不来	［同］划不着 失算 
划不着	［同］失算 划不来 
划策	［同］筹谋 计谋 策划 谋划 
划得来	［同］划得着 合算 划算 经济 
划得着	［同］合算 划算 经济 划得来 
划分	［同］瓜分 分割 分 分开 
划拳	［同］猜拳 
划算1	［同］经济 划得来 划得着 合算 
划算2	［同］盘算 筹算 匡算 计算 
划线	［同］信笔涂抹 涂鸦 
划一	［同］等同 同等 平行 一致 
化	［同］募化 化募 化缘 ［反］冻 
化除	［同］破除 扫除 消除 打消 
化冻	［同］解冻 ［反］上冻 
化干戈为玉帛	［同］停战 停火 息兵 息甲 
化合	［反］分解 
化合物	［反］混合物 
化零为整	［反］化整为零 
化名1	［同］假名 
化名2	［同］易姓 更名改姓 更姓埋名 改名 
化募	［同］化缘 化 募化 
化脓	［同］溃烂 
化食	［同］消化 
化险为夷	［同］逢凶化吉 转危为安 
化学变化	［反］物理变化 
化学当量	［同］当量 
化学能	［同］原子能 动能 电能磁能 光能 
化学性质	［反］物理性质 
化油器	［同］汽化器 
化缘	［同］化 募化 化募 ［反］布施 
化整为零	［反］化零为整 
化装	［同］扮装 装扮 假扮 扮戏 ［反］卸装 下装 
化妆	［同］美容 打扮 装扮 妆饰 ［反］卸妆 
化作	［同］比方 好比 比喻 譬喻 
话	［同］言 语 言语 言辞 
话本	［同］唱本 
话别	［同］叙别 道别 临别赠言 
话柄	［同］口实 
话不投机半句多	［同］合不来 说不来 
话碴儿	［同］话头 话锋 
话搭头	［同］口头禅 口头语 
话锋1	［同］话碴儿 话头 
话锋2	［同］谈锋 
话家常	［同］扯家常 叙家常 摆龙门阵 拉家常 
话旧	［同］叙旧 
话剧	［同］新剧 文明戏 
话里有话	［同］意在言外 指黑道白 指桑骂槐 醉翁之意不在酒 
话题	［同］专题 课题 命题 议题 
话筒	［同］送话器 传声器 麦克风 发话器 
话头	［同］话锋 话碴儿 
话务员	［同］接线生 
话音1	［同］口音 字音 字 口齿 
话音2	［同］语气 口气 口风 口吻 
槐月	［同］孟夏 四月 余月 
怀才不遇1	［同］失意 
怀才不遇2	［同］蛟龙失水 虎落平阳 穷途潦倒 失意潦倒 
怀春	［同］一往情深 倾心 动情 钟情 
怀恨	［同］记恨 抱恨 挟嫌 
怀旧	［同］思旧 念旧 
怀念	［同］思 思念 想念 惦念 
怀乡	［同］思乡 
怀疑1	［同］猜想 猜测 猜度 不可捉摸 ［反］相信 轻信 置信 信任 信赖 
怀疑2	［同］置疑 狐疑 嫌疑 生疑 
坏	［同］变质 馊 ［反］好 
坏处	［反］好处 
坏蛋	［同］坏分子 坏东西 狗东西 癞皮狗 ［反］好人 
坏东西	［同］狗东西 癞皮狗 坏蛋 坏分子 
坏分子	［同］坏东西 狗东西 癞皮狗 坏蛋 
坏话	［反］好话 
坏了	［同］不得了 不好了 大事不好 糟糕 
坏人	［同］歹人 歹徒 败类 ［反］好人 
坏事1	［同］败事 误事 帮倒忙 成事不足 败事有余 ［反］好事 
坏事2	［同］勾当 劣迹 
坏心	［反］好心 
坏主意	［同］馊主意 鬼点子 
欢	［同］乐 ［反］悲 哀 
欢蹦乱跳	［同］龙腾虎跃 生动活泼 生气勃勃 生龙活虎 ［反］呆头呆脑 
欢畅	［同］畅快 舒畅 宽畅 酣畅 ［反］悲伤 伤心 难受 难过 哀伤 悲哀 哀愁 忧伤 悲痛 哀痛 沉痛 痛心 痛苦 悲苦 
欢度	［同］过 度过 
欢歌	［同］酣歌 高唱 高歌 豪歌 ［反］悲歌 
欢呼	［同］喝彩 
欢聚	［同］聚齐 聚拢 围拢 凑拢 
欢快	［同］快活 高兴 开心 愉快 
欢乐	［反］悲伤 伤心 难受 难过 哀伤 悲哀 哀愁 忧伤 悲痛 哀痛 沉痛 痛心 痛苦 悲苦 
欢然	［反］怅然 凄然 悄然 怆然 
欢送	［同］送客 送别 送行 ［反］欢迎 
欢腾	［同］欢跃 手舞足蹈 
欢天喜地	［同］欣喜若狂 兴高采烈 狂喜 销魂 
欢喜1	［同］爱慕 喜欢 喜爱 喜好 ［反］悲伤 伤心 难受 难过 哀伤 悲哀 哀愁 忧伤 悲痛 哀痛 沉痛 痛心 痛苦 悲苦 
欢喜2	［同］追 追求 求凰 求偶 
欢笑	［同］笑 乐 
欢欣	［反］悲伤 伤心 难受 难过 哀伤 悲哀 哀愁 忧伤 悲痛 哀痛 沉痛 痛心 痛苦 悲苦 
欢欣鼓舞	［同］欢欣雀跃 赏心悦目 如获至宝 
欢欣雀跃	［同］赏心悦目 如获至宝 欢欣鼓舞 
欢心	［同］自尊心 责任心 虚荣心 同情心 
欢迎	［同］迎将 迎接 迎候 出迎 ［反］欢送 
欢跃1	［同］活泼 活跃 
欢跃2	［同］手舞足蹈 欢腾 
环顾	［同］四顾 环视 扫视 
环节动物	［同］节肢动物 
环境1	［同］情况 情形 境地 境界 
环境2	［同］条件 
环境保护	［反］环境污染 
环境卫生	［同］公共卫生 
环境污染	［反］环境保护 
环绕	［同］缠绕 盘绕 群山环抱 围绕 
环视	［同］扫视 环顾 四顾 
还1	［同］也是 亦 也 ［反］借 
还2	［同］再 又 重 更 
还魂1	［同］还阳 复生 起死回生 复活 
还魂2	［同］再生 
还击	［同］回击 
还价	［同］打价 ［反］讨价 要价 
还款	［反］借款 欠款 
还礼	［同］回礼 ［反］送礼 行礼 
还钱	［反］欠钱 借钱 
还俗	［反］出家 
还未	［反］已经 
还阳	［同］复生 起死回生 复活 还魂 
还原	［同］复原 规复 回复 恢复 ［反］氧化 
还原焰	［同］焰 外焰 氧化焰 内焰 
还愿	［同］践诺 实践 
还债	［同］还帐 抵帐 折帐 偿还 ［反］借债 欠债 
还帐	［同］抵帐 折帐 偿还 还债 ［反］欠帐 
缓1	［同］缓慢 舒缓 徐徐 慢 ［反］急 
缓2	［同］缓气 
缓办	［同］备办 酌办 
缓步	［同］款步 彳亍 慢走 踱 ［反］快步 疾步 
缓和	［同］降温 冲淡 ［反］紧张 激化 
缓急	［同］急事 急茬儿 急 警 
缓慢	［同］舒缓 徐徐 慢 缓 ［反］迅速 急速 飞速 火速 神速 
缓坡	［同］坡 斜坡 山坡 坂 ［反］陡坡 
缓期	［反］提前 提早 
缓气	［同］缓 
缓行	［反］疾驶 
换	［同］变卖 变产 折变 变 
换车	［同］倒车 中转 转车 
换防	［同］移防 接防 调防 
换工	［同］变工 拨工 
换取	［同］猎取 吸取 摄取 截取 
换算	［同］折算 
换汤不换药	［同］万变不离其宗 改头换面 
换帖弟兄	［同］结拜弟兄 八拜之交 把兄弟 盟兄弟 
换文	［同］急件 密件 收文 发文 
换装	［同］改装 
患病	［同］生病 害病 有病 闹病 
患处	［同］伤口 创口 口子 
患得患失	［同］损人利己 见利忘义 自私 自私自利 
患难与共	［同］生死与共 同舟共济 同甘共苦 休戚与共 
患难之交1	［同］莫逆之交 深交 素交 至交 ［反］一面之交 点头之交 泛泛之交 
患难之交2	［同］难友 
患难之交3	［同］刎劲之交 
唤起1	［同］号召 召唤 呼唤 
唤起2	［同］提醒 提拨 唤醒 
唤起3	［同］挑动 引动 引起 
唤醒	［同］唤起 提醒 提拨 
焕然一新	［同］万象更新 面目一新 ［反］依然如故 
涣然冰释	［同］瓦解冰消 冰消瓦解 冰解 冻解 
涣散	［同］麻痹 松懈 松驰 松散 
宦途	［同］仕途 
幻灯	［同］幻灯机 
幻灯机	［同］幻灯 
幻术	［同］戏法 魔术 
幻想1	［同］白日作梦 胡思乱想 空想 玄想 ［反］现实 
幻想2	［同］空想 玄想 痴想 妄想 
荒1	［同］废 荒废 荒疏 抛荒 
荒2	［同］废 荒芜 荒废 
荒3	［同］荒郊 荒外 丘墟 荒地 
荒4	［同］饥荒 饥馑 饥 
荒草	［同］野草 奥草 杂草 草茅 
荒诞	［同］荒诞不经 徙宅忘妻 荒唐 
荒诞不经	［同］徙宅忘妻 荒唐 荒诞 
荒诞无稽	［反］有案可稽 信而有征 
荒地1	［同］荒 荒郊 荒外 丘墟 ［反］熟地 
荒地2	［同］丘墟 沙荒 荒野 生荒 
荒废1	［同］荒 废 荒芜 
荒废2	［同］荒疏 抛荒 荒 废 
荒废3	［同］浪费 旷费 
荒郊	［同］荒外 丘墟 荒地 荒 
荒凉	［反］繁华 热闹 
荒谬	［反］正确 
荒漠1	［同］戈壁 沙漠 漠 大漠 
荒漠2	［同］浩荡 浩瀚 浩渺 弥漫 
荒年	［同］荒岁 歉岁 歉年 凶年 ［反］丰年 
荒疏1	［同］抛荒 荒 废 荒废 
荒疏2	［同］生疏 生 外行 半路成家 
荒岁	［同］歉岁 歉年 凶年 荒年 
荒唐1	［同］荒诞 荒诞不经 徙宅忘妻 
荒唐2	［同］浪放 放浪 轻脱 
荒外	［同］丘墟 荒地 荒 荒郊 
荒芜	［同］荒废 荒 废 
荒野	［同］生荒 荒地 丘墟 沙荒 
